date,state,city,place_type,confirmed,deaths
10/04/2020,RS,Cruzeiro do Sul,city,1,0
10/04/2020,RS,Dois Irmãos,city,2,0
10/04/2020,RS,Dom Pedrito,city,1,0
10/04/2020,RS,Eldorado do Sul,city,1,0
10/04/2020,RS,Encantado,city,2,0
10/04/2020,RS,Erechim,city,3,0
10/04/2020,RS,Estância Velha,city,3,0
10/04/2020,RS,Esteio,city,2,0
10/04/2020,RS,Estrela,city,1,0
10/04/2020,RS,Farroupilha,city,5,0
10/04/2020,RS,Garibaldi,city,2,0
10/04/2020,RS,Glorinha,city,1,0
10/04/2020,RS,Gravataí,city,13,0
10/04/2020,RS,Guaíba,city,1,0
10/04/2020,RS,Harmonia,city,3,0
10/04/2020,RS,Ivoti,city,4,1
10/04/2020,RS,Lajeado,city,13,0
10/04/2020,RS,Marau,city,9,1
10/04/2020,RS,Minas do Leão,city,2,0
10/04/2020,RS,Montenegro,city,1,0
10/04/2020,RS,Nova Palma,city,1,0
10/04/2020,RS,Novo Hamburgo,city,24,2
10/04/2020,RS,Osório,city,2,0
10/04/2020,RS,Paraí,city,2,0
10/04/2020,RS,Pareci Novo,city,1,0
10/04/2020,RS,Passo Fundo,city,18,2
10/04/2020,RS,Pelotas,city,5,0
10/04/2020,RS,Piratini,city,1,0
10/04/2020,RS,Porto Alegre,city,303,6
10/04/2020,RS,Rio Grande,city,2,0
10/04/2020,RS,Rolante,city,1,0
10/04/2020,RS,Sananduva,city,2,0
10/04/2020,RS,Santa Cruz do Sul,city,1,0
10/04/2020,RS,Santa Maria,city,8,0
10/04/2020,RS,Sant'Ana do Livramento,city,7,0
10/04/2020,RS,Santa Rosa,city,4,0
10/04/2020,RS,Santiago,city,1,0
10/04/2020,RS,Santo Antônio da Patrulha,city,2,0
10/04/2020,RS,São Domingos do Sul,city,2,0
10/04/2020,RS,São Gabriel,city,1,0
10/04/2020,RS,São Jorge,city,1,0
10/04/2020,RS,São Leopoldo,city,16,1
10/04/2020,RS,São Lourenço do Sul,city,1,0
10/04/2020,RS,São Sebastião do Caí,city,2,0
10/04/2020,RS,Sapiranga,city,1,0
10/04/2020,RS,Sapucaia do Sul,city,3,0
10/04/2020,RS,Sarandi,city,1,0
10/04/2020,RS,Serafina Corrêa,city,5,0
10/04/2020,RS,Tabaí,city,4,0
10/04/2020,RS,Taquara,city,1,0
10/04/2020,RS,Taquari,city,4,0
10/04/2020,RS,Torres,city,9,0
10/04/2020,RS,Tramandaí,city,1,0
10/04/2020,RS,Tupandi,city,1,0
10/04/2020,RS,Uruguaiana,city,3,0
10/04/2020,RS,Vacaria,city,1,0
10/04/2020,RS,Viamão,city,8,0
10/04/2020,RS,Vila Maria,city,1,0
05/04/2020,DF,,state,468,7
10/04/2020,SC,Águas Mornas,city,1,0
