country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-02-27,2.04422318950352,3.780037472396499,0.7537684620492514,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-02-28,2.0074533822059104,3.8215657502631255,0.8774327620939593,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-02-29,2.2571857582586237,4.035409410692619,0.9985102956472145,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-01,2.3223598702165718,3.9319858410874415,1.1578250141404125,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-02,2.6729886862837824,4.2883749978159225,1.4381271933212578,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-03,2.7218811597253003,4.277853748691252,1.6315385797117554,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-04,2.8548114082986054,4.173613078878356,1.8017476356626565,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-05,2.9797122802982594,4.138391315291867,2.000646785129702,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-06,2.969163725074125,3.9748282204285386,2.0947383059366933,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-07,2.806775870791394,3.6592527054997035,2.0627361093855168,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-08,2.557583622943269,3.2692962400733663,1.9302678943019815,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-09,2.328649173892382,2.9215362494332067,1.79371629364376,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-10,2.098644894049486,2.615092460921271,1.6391667665363971,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-11,1.8994121770193713,2.345087571763164,1.5068477760797458,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-12,1.7676032063129858,2.1583835886605334,1.4188629650078022,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-13,1.6668706732263827,2.017824657837322,1.3483873612721182,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-14,1.5771552454481672,1.8960487428010768,1.2884468503013176,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-15,1.4889839105548692,1.7812687639228137,1.221555562564522,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-16,1.4012793157227477,1.6652478955557202,1.1588808648353335,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-17,1.3204951120554727,1.5669171340759585,1.0933490836708604,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-18,1.2398697000775378,1.46954298456914,1.0269267843573902,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-19,1.1656722774387598,1.3831391969118714,0.9698791336365279,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-20,1.1063390329443736,1.313195029240778,0.9137436663998114,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-21,1.0567512848579241,1.2563298842818282,0.8770103769724068,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-22,1.025325820249703,1.216260155883447,0.8502182943673251,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-23,0.9933473778433409,1.1812207346333314,0.8215070113502289,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-24,0.9549409070225839,1.1392412457538503,0.7895218364821054,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-25,0.9220642554015427,1.10253076589769,0.7572096882484745,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-26,0.8904495897593606,1.068432349206032,0.7285086779606476,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-27,0.8544092047837955,1.0273441565544066,0.6945209934481886,CHE
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,2020-03-28,0.8172688721120012,0.9926232985304171,0.6592311815105176,CHE
