country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,03/03/2020,1.9862752,2.741254401,1.356259653
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,04/03/2020,2.030858801,2.757568375,1.433903632
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,05/03/2020,1.98741118,2.614142885,1.42965722
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,06/03/2020,1.970831231,2.561517757,1.449772165
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,07/03/2020,1.964675996,2.505592135,1.484641189
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,08/03/2020,1.920541089,2.408952631,1.473544876
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,09/03/2020,1.828187576,2.290914203,1.41576829
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,10/03/2020,1.748530353,2.157370805,1.382176821
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,11/03/2020,1.648582577,2.019201576,1.318194631
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,12/03/2020,1.571283985,1.914422137,1.261635076
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,13/03/2020,1.498898523,1.814338106,1.209438714
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,14/03/2020,1.391266848,1.687972567,1.12883564
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,15/03/2020,1.278351351,1.543244547,1.036137708
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,16/03/2020,1.221832071,1.47620238,0.992491317
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,17/03/2020,1.171171146,1.41448554,0.949198336
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,18/03/2020,1.140653129,1.371087424,0.930766176
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,19/03/2020,1.113818347,1.330364587,0.912748793
Switzerland,AG,FOPH,Confirmed cases,Cori_slidingWindow,20/03/2020,1.091741236,1.309368472,0.891414173
