n,a,b,c,d,e
107,0.945409429,1.069478908,1.203473945,TRUE,TRUE
108,0.945409429,1.069478908,1.200992556,TRUE,TRUE
109,0.962779156,1.079404467,1.205955335,TRUE,TRUE
110,0.945409429,1.069478908,1.193548387,TRUE,TRUE
111,0.838709677,0.947890819,1.064516129,TRUE,TRUE
112,0.734491315,0.831265509,0.94044665,TRUE,TRUE
113,0.692307692,0.796526055,0.898263027,TRUE,TRUE
114,0.655086849,0.751861042,0.863523573,TRUE,TRUE
115,0.617866005,0.719602978,0.828784119,TRUE,TRUE
116,0.575682382,0.677419355,0.784119107,TRUE,TRUE
117,0.570719603,0.672456576,0.791563275,TRUE,TRUE
118,0.610421836,0.724565757,0.858560794,TRUE,TRUE
119,0.52853598,0.642679901,0.76674938,TRUE,TRUE
120,0.508684864,0.620347395,0.749379653,TRUE,TRUE
121,0.511166253,0.630272953,0.76426799,TRUE,TRUE
122,0.53101737,0.652605459,0.789081886,TRUE,TRUE
