1,1.982229402,,,,,,
1,2.562197092,,day,n,a,b,c
33.17777778,1.327948304,,,,,,
33.17777778,1.374798061,,,,,,
33.17777778,1.282714055,,,,,,
34.28888889,1.34733441,,,,,,
34.31111111,1.30371567,,,,,,
34.31111111,1.389337641,,,,,,
35.46666667,1.386106624,,,,,,
35.46666667,1.468497577,,,,,,
35.46666667,1.428109855,,,,,,
36.64444444,1.444264943,,,,,,
36.64444444,1.487883683,,,,,,
36.64444444,1.529886914,,,,,,
37.8,1.563812601,,,,,,
37.8,1.525040388,,,,,,
37.82222222,1.473344103,,,,,,
39.02222222,1.510500808,,,,,,
39.02222222,1.55088853,,,,,,
39.02222222,1.479806139,,,,,,
40.17777778,1.571890145,,,,,,
40.17777778,1.610662359,,,,,,
40.17777778,1.529886914,,,,,,
41.33333333,1.534733441,,,,,,
41.35555556,1.610662359,,,,,,
41.35555556,1.570274637,,,,,,
42.51111111,1.523424879,,,,,,
42.51111111,1.602584814,,,,,,
42.53333333,1.560581583,,,,,,
43.68888889,1.516962843,,,,,,
43.68888889,1.55088853,,,,,,
43.68888889,1.589660743,,,,,,
44.88888889,1.518578352,,,,,,
44.88888889,1.554119548,,,,,,
44.91111111,1.588045234,,,,,,
46.02222222,1.502423263,,,,,,
46.02222222,1.525040388,,,,,,
46.02222222,1.552504039,,,,,,
47.22222222,1.533117932,,,,,,
47.22222222,1.505654281,,,,,,
47.24444444,1.563812601,,,,,,
48.44444444,1.526655897,,,,,,
48.44444444,1.588045234,,,,,,
48.44444444,1.555735057,,,,,,
49.46666667,1.610662359,,,,,,
49.48888889,1.584814216,,,,,,
49.48888889,1.557350565,,,,,,
50.73333333,1.583198708,,,,,,
50.73333333,1.610662359,,,,,,
50.73333333,1.552504039,,,,,,
51.95555556,1.615508885,,,,,,
51.95555556,1.634894992,,,,,,
51.95555556,1.59450727,,,,,,
53.11111111,1.694668821,,,,,,
53.13333333,1.675282714,,,,,,
53.13333333,1.660743134,,,,,,
54.28888889,1.715670436,,,,,,
54.28888889,1.738287561,,,,,,
54.28888889,1.757673667,,,,,,
55.48888889,1.738287561,,,,,,
55.48888889,1.764135703,,,,,,
55.51111111,1.712439418,,,,,,
56.62222222,1.688206785,,,,,,
56.62222222,1.707592892,,,,,,
56.62222222,1.728594507,,,,,,
57.82222222,1.625201939,,,,,,
57.82222222,1.605815832,,,,,,
57.84444444,1.644588045,,,,,,
58.95555556,1.523424879,,,,,,
58.95555556,1.537964459,,,,,,
58.95555556,1.554119548,,,,,,
60.17777778,1.479806139,,,,,,
60.17777778,1.494345719,,,,,,
60.17777778,1.465266559,,,,,,
61.28888889,1.423263328,,,,,,
61.28888889,1.453957997,,,,,,
61.28888889,1.439418417,,,,,,
62.6,1.450726979,,,,,,
62.6,1.473344103,,,,,,
62.6,1.494345719,,,,,,
63.42222222,1.453957997,,,,,,
63.42222222,1.468497577,,,,,,
63.42222222,1.483037157,,,,,,
64.88888889,1.411954766,,,,,,
64.88888889,1.428109855,,,,,,
64.88888889,1.444264943,,,,,,
66.22222222,1.386106624,,,,,,
66.22222222,1.413570275,,,,,,
66.22222222,1.399030695,,,,,,
67.33333333,1.371567044,,,,,,
67.33333333,1.387722132,,,,,,
67.33333333,1.402261712,,,,,,
68.64444444,1.395799677,,,,,,
68.64444444,1.424878837,,,,,,
68.64444444,1.411954766,,,,,,
69.8,1.431340872,,,,,,
69.8,1.415185784,,,,,,
69.82222222,1.400646204,,,,,,
70.71111111,1.389337641,,,,,,
70.71111111,1.403877221,,,,,,
70.71111111,1.421647819,,,,,,
71.71111111,1.352180937,,,,,,
71.71111111,1.366720517,,,,,,
71.71111111,1.386106624,,,,,,
72.53333333,1.31825525,,,,,,
72.53333333,1.331179321,,,,,,
72.53333333,1.344103393,,,,,,
