day-7,day-5,n,Index,tstart,tend1,tend2,Calculus Day,lower,mean,upper
20/04/2020,22/04/2020,65,65,66,72,70,27/04/2020,0.907407407,0.880104463,0.939458689
21/04/2020,23/04/2020,66,66,67,73,71,28/04/2020,0.90800095,0.932929725,0.956077873
22/04/2020,24/04/2020,67,67,68,74,72,29/04/2020,0.919278253,0.944207028,0.969729345
23/04/2020,25/04/2020,68,68,69,75,73,30/04/2020,0.941832858,0.964387464,0.988129155
24/04/2020,26/04/2020,69,69,70,76,74,01/05/2020,0.957264957,0.979819563,1.002967711
25/04/2020,27/04/2020,70,70,71,77,75,02/05/2020,0.959639126,0.989316239,1.020180437
26/04/2020,28/04/2020,71,71,72,78,76,03/05/2020,0.971509972,1.004154796,1.039767331
27/04/2020,29/04/2020,72,72,73,79,77,04/05/2020,0.98694207,1.015432099,1.046296296
28/04/2020,30/04/2020,73,73,74,80,78,05/05/2020,0.994064577,1.02374169,1.054605888
29/04/2020,01/05/2020,74,74,75,81,79,06/05/2020,1.022554606,0.990503324,1.053418803
30/04/2020,02/05/2020,75,75,76,82,80,07/05/2020,0.982193732,1.008309592,1.040360874
01/05/2020,03/05/2020,76,76,77,83,81,08/05/2020,0.996438746,1.024928775,1.054605888
02/05/2020,04/05/2020,77,77,78,84,82,09/05/2020,0.96320038,0.994064577,1.028490028
03/05/2020,05/05/2020,78,78,79,85,83,10/05/2020,0.919278253,0.944207028,0.975071225
04/05/2020,06/05/2020,79,79,80,86,84,11/05/2020,0.88960114,0.915123457,0.938271605
