country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
PT,Portugal,Castelo Branco District,,13/03/2020,-18,28,4,-9,-4,5
PT,Portugal,Castelo Branco District,,14/03/2020,-40,-6,-26,-27,-13,8
PT,Portugal,Castelo Branco District,,15/03/2020,-55,-25,-44,-46,-23,
PT,Portugal,Castelo Branco District,,16/03/2020,-45,-17,-39,-44,-36,18
PT,Portugal,Castelo Branco District,,17/03/2020,-46,-16,-32,-48,-42,19
PT,Portugal,Castelo Branco District,,18/03/2020,-50,-15,-41,-54,-44,19
PT,Portugal,Castelo Branco District,,19/03/2020,-61,-35,-51,-61,-51,23
PT,Portugal,Castelo Branco District,,20/03/2020,-75,-46,-63,-77,-55,32
PT,Portugal,Castelo Branco District,,21/03/2020,-79,-48,-66,-67,-51,
PT,Portugal,Castelo Branco District,,22/03/2020,-81,-58,-64,-74,-49,
PT,Portugal,Castelo Branco District,,23/03/2020,-71,-40,-55,-75,-56,27
PT,Portugal,Castelo Branco District,,24/03/2020,-70,-39,-47,-67,-58,26
PT,Portugal,Castelo Branco District,,25/03/2020,-72,-42,-53,-69,-59,27
PT,Portugal,Castelo Branco District,,26/03/2020,-72,-41,-52,-70,-60,27
PT,Portugal,Castelo Branco District,,27/03/2020,-73,-39,-56,-77,-57,31
PT,Portugal,Castelo Branco District,,28/03/2020,-77,-47,-65,-69,-50,
PT,Portugal,Castelo Branco District,,29/03/2020,-81,-61,-65,-76,-48,
PT,Portugal,Castelo Branco District,,30/03/2020,-72,-45,-67,-74,-58,28
PT,Portugal,Castelo Branco District,,31/03/2020,-71,-40,-61,-79,-60,29
PT,Portugal,Castelo Branco District,,01/04/2020,-69,-37,-57,-73,-60,28
PT,Portugal,Castelo Branco District,,02/04/2020,-68,-36,-55,-69,-59,27
PT,Portugal,Castelo Branco District,,03/04/2020,-70,-37,-51,-74,-58,30
PT,Portugal,Castelo Branco District,,04/04/2020,-75,-46,-69,-80,-50,
PT,Portugal,Castelo Branco District,,05/04/2020,-83,-67,-84,-86,-53,
PT,Portugal,Castelo Branco District,,06/04/2020,-68,-39,-65,-74,-61,29
PT,Portugal,Castelo Branco District,,07/04/2020,-65,-28,-48,-67,-61,27
PT,Portugal,Castelo Branco District,,08/04/2020,-64,-25,-49,-67,-60,25
PT,Portugal,Castelo Branco District,,09/04/2020,-69,-27,-59,-78,-67,29
PT,Portugal,Castelo Branco District,,10/04/2020,-81,-56,-62,-85,-82,
PT,Portugal,Castelo Branco District,,11/04/2020,-76,-42,-66,-73,-52,
PT,Portugal,Castelo Branco District,,12/04/2020,-86,-87,-71,-80,-52,
PT,Portugal,Castelo Branco District,,13/04/2020,-70,-39,-56,-79,-66,31
PT,Portugal,Castelo Branco District,,14/04/2020,-63,-28,-42,-60,-58,26
PT,Portugal,Castelo Branco District,,15/04/2020,-68,-38,-60,-73,-59,28
PT,Portugal,Castelo Branco District,,16/04/2020,-68,-31,-58,-72,-60,28
PT,Portugal,Castelo Branco District,,17/04/2020,-66,-27,-56,-74,-56,30
PT,Portugal,Castelo Branco District,,18/04/2020,-70,-41,-54,-67,-45,
PT,Portugal,Castelo Branco District,,19/04/2020,-74,-53,-53,-76,-43,
PT,Portugal,Castelo Branco District,,20/04/2020,-65,-43,-57,-70,-57,27
PT,Portugal,Castelo Branco District,,21/04/2020,-62,-35,-41,-63,-57,25
PT,Portugal,Castelo Branco District,,22/04/2020,-63,-39,-41,-66,-56,24
PT,Portugal,Castelo Branco District,,23/04/2020,-62,-34,-36,-63,-56,24
PT,Portugal,Castelo Branco District,,24/04/2020,-65,-31,-48,-68,-54,27
PT,Portugal,Castelo Branco District,,25/04/2020,-70,-42,-56,-68,-47,
PT,Portugal,Castelo Branco District,,26/04/2020,-73,-48,-59,-74,-41,
PT,Portugal,Castelo Branco District,,27/04/2020,-60,-31,-49,-66,-55,25
PT,Portugal,Castelo Branco District,,28/04/2020,-62,-34,-36,-67,-60,24
PT,Portugal,Castelo Branco District,,29/04/2020,-60,-30,-47,-61,-53,24
PT,Portugal,Castelo Branco District,,30/04/2020,-57,-15,-33,-55,-54,22
PT,Portugal,Castelo Branco District,,01/05/2020,-74,-47,-39,-78,-77,
PT,Portugal,Castelo Branco District,,02/05/2020,-66,-28,-37,-62,-39,
PT,Portugal,Castelo Branco District,,03/05/2020,-67,-38,-23,-64,-31,
PT,Portugal,Castelo Branco District,,04/05/2020,-54,-23,-29,-56,-48,22
PT,Portugal,Castelo Branco District,,05/05/2020,-53,-22,-13,-49,-47,21
PT,Portugal,Castelo Branco District,,06/05/2020,-53,-19,-10,-50,-47,19
PT,Portugal,Castelo Branco District,,07/05/2020,-51,-16,-8,-45,-47,20
PT,Portugal,Castelo Branco District,,08/05/2020,-53,-15,-18,-52,-44,22
PT,Portugal,Castelo Branco District,,09/05/2020,-58,-19,-37,-50,-28,13
PT,Portugal,Coimbra District,,15/02/2020,6,1,-11,33,0,-1
PT,Portugal,Coimbra District,,16/02/2020,-3,3,-35,53,2,0
PT,Portugal,Coimbra District,,17/02/2020,2,4,-53,19,3,0
PT,Portugal,Coimbra District,,18/02/2020,5,3,-46,24,4,-1
PT,Portugal,Coimbra District,,19/02/2020,5,2,-41,7,3,-2
PT,Portugal,Coimbra District,,20/02/2020,6,2,-25,4,2,-2
PT,Portugal,Coimbra District,,21/02/2020,5,5,25,64,1,-2
PT,Portugal,Coimbra District,,22/02/2020,6,7,39,50,-1,-2
PT,Portugal,Coimbra District,,23/02/2020,9,9,58,42,0,-4
PT,Portugal,Coimbra District,,24/02/2020,20,14,36,22,-26,3
PT,Portugal,Coimbra District,,25/02/2020,-1,-5,-19,8,-65,17
PT,Portugal,Coimbra District,,26/02/2020,2,5,22,13,-14,2
PT,Portugal,Coimbra District,,27/02/2020,4,5,32,4,1,-1
PT,Portugal,Coimbra District,,28/02/2020,1,5,16,45,1,-1
PT,Portugal,Coimbra District,,29/02/2020,-2,6,-9,22,1,1
PT,Portugal,Coimbra District,,01/03/2020,-12,-5,-39,38,-2,3
PT,Portugal,Coimbra District,,02/03/2020,3,7,13,18,4,0
PT,Portugal,Coimbra District,,03/03/2020,0,7,15,16,3,0
PT,Portugal,Coimbra District,,04/03/2020,3,6,16,0,2,-1
PT,Portugal,Coimbra District,,05/03/2020,4,9,22,-1,3,-1
PT,Portugal,Coimbra District,,06/03/2020,0,5,10,47,2,0
PT,Portugal,Coimbra District,,07/03/2020,5,1,25,24,2,-1
PT,Portugal,Coimbra District,,08/03/2020,0,1,-9,44,2,0
PT,Portugal,Coimbra District,,09/03/2020,3,10,17,23,3,0
PT,Portugal,Coimbra District,,10/03/2020,2,16,-1,29,1,1
PT,Portugal,Coimbra District,,11/03/2020,-1,26,-9,4,-1,1
PT,Portugal,Coimbra District,,12/03/2020,-11,29,-18,-11,-3,3
PT,Portugal,Coimbra District,,13/03/2020,-29,20,-36,-1,-9,9
PT,Portugal,Coimbra District,,14/03/2020,-49,-6,-43,-27,-16,13
PT,Portugal,Coimbra District,,15/03/2020,-65,-35,-67,-45,-23,16
PT,Portugal,Coimbra District,,16/03/2020,-51,-12,-58,-40,-39,21
PT,Portugal,Coimbra District,,17/03/2020,-55,-18,-56,-42,-45,23
PT,Portugal,Coimbra District,,18/03/2020,-55,-16,-58,-53,-48,23
PT,Portugal,Coimbra District,,19/03/2020,-67,-35,-66,-68,-54,28
PT,Portugal,Coimbra District,,20/03/2020,-78,-44,-78,-69,-58,37
PT,Portugal,Coimbra District,,21/03/2020,-79,-44,-74,-72,-52,25
PT,Portugal,Coimbra District,,22/03/2020,-82,-58,-72,-74,-46,22
PT,Portugal,Coimbra District,,23/03/2020,-72,-40,-71,-69,-59,31
PT,Portugal,Coimbra District,,24/03/2020,-73,-41,-70,-67,-60,32
PT,Portugal,Coimbra District,,25/03/2020,-74,-41,-72,-73,-60,31
PT,Portugal,Coimbra District,,26/03/2020,-73,-43,-71,-76,-61,32
PT,Portugal,Coimbra District,,27/03/2020,-75,-39,-71,-71,-60,37
PT,Portugal,Coimbra District,,28/03/2020,-79,-46,-76,-72,-51,24
PT,Portugal,Coimbra District,,29/03/2020,-83,-61,-80,-77,-48,23
PT,Portugal,Coimbra District,,30/03/2020,-74,-43,-76,-71,-60,32
PT,Portugal,Coimbra District,,31/03/2020,-73,-38,-77,-69,-61,33
PT,Portugal,Coimbra District,,01/04/2020,-73,-39,-76,-76,-61,32
PT,Portugal,Coimbra District,,02/04/2020,-70,-36,-67,-77,-61,32
PT,Portugal,Coimbra District,,03/04/2020,-72,-36,-71,-71,-61,36
PT,Portugal,Coimbra District,,04/04/2020,-78,-42,-77,-74,-52,24
PT,Portugal,Coimbra District,,05/04/2020,-84,-61,-87,-81,-50,24
PT,Portugal,Coimbra District,,06/04/2020,-70,-37,-76,-72,-60,32
PT,Portugal,Coimbra District,,07/04/2020,-68,-30,-81,-66,-61,31
PT,Portugal,Coimbra District,,08/04/2020,-66,-23,-82,-72,-60,29
PT,Portugal,Coimbra District,,09/04/2020,-70,-25,-84,-77,-66,33
PT,Portugal,Coimbra District,,10/04/2020,-81,-49,-87,-87,-82,48
PT,Portugal,Coimbra District,,11/04/2020,-77,-39,-83,-78,-54,26
PT,Portugal,Coimbra District,,12/04/2020,-86,-86,-84,-82,-53,24
PT,Portugal,Coimbra District,,13/04/2020,-74,-46,-86,-79,-69,36
PT,Portugal,Coimbra District,,14/04/2020,-66,-33,-79,-64,-60,30
PT,Portugal,Coimbra District,,15/04/2020,-69,-37,-83,-72,-60,31
PT,Portugal,Coimbra District,,16/04/2020,-68,-34,-82,-74,-60,32
PT,Portugal,Coimbra District,,17/04/2020,-68,-31,-78,-70,-59,35
PT,Portugal,Coimbra District,,18/04/2020,-72,-41,-72,-67,-45,22
PT,Portugal,Coimbra District,,19/04/2020,-77,-56,-75,-73,-44,20
PT,Portugal,Coimbra District,,20/04/2020,-68,-44,-83,-68,-57,31
PT,Portugal,Coimbra District,,21/04/2020,-66,-38,-79,-63,-57,30
PT,Portugal,Coimbra District,,22/04/2020,-67,-42,-79,-70,-58,29
PT,Portugal,Coimbra District,,23/04/2020,-66,-40,-73,-72,-58,29
PT,Portugal,Coimbra District,,24/04/2020,-68,-38,-78,-67,-56,33
PT,Portugal,Coimbra District,,25/04/2020,-73,-42,-76,-71,-48,22
PT,Portugal,Coimbra District,,26/04/2020,-76,-52,-76,-73,-43,20
PT,Portugal,Coimbra District,,27/04/2020,-64,-39,-78,-67,-55,29
PT,Portugal,Coimbra District,,28/04/2020,-64,-36,-75,-64,-56,26
PT,Portugal,Coimbra District,,29/04/2020,-64,-35,-76,-68,-55,28
PT,Portugal,Coimbra District,,30/04/2020,-61,-24,-59,-65,-55,26
PT,Portugal,Coimbra District,,01/05/2020,-78,-50,-78,-84,-79,44
PT,Portugal,Coimbra District,,02/05/2020,-71,-35,-57,-66,-42,21
PT,Portugal,Coimbra District,,03/05/2020,-73,-47,-50,-65,-34,17
PT,Portugal,Coimbra District,,04/05/2020,-58,-31,-57,-51,-50,24
PT,Portugal,Coimbra District,,05/05/2020,-58,-29,-51,-49,-49,24
PT,Portugal,Coimbra District,,06/05/2020,-56,-25,-44,-56,-49,23
PT,Portugal,Coimbra District,,07/05/2020,-56,-26,-39,-59,-48,23
PT,Portugal,Coimbra District,,08/05/2020,-59,-24,-49,-51,-46,27
PT,Portugal,Coimbra District,,09/05/2020,-63,-26,-57,-47,-32,17
PT,Portugal,Évora District,,15/02/2020,5,-4,19,,2,-1
PT,Portugal,Évora District,,16/02/2020,11,5,19,,2,
PT,Portugal,Évora District,,17/02/2020,1,-3,2,,4,0
PT,Portugal,Évora District,,18/02/2020,3,-1,12,,4,-1
PT,Portugal,Évora District,,19/02/2020,4,3,11,4,4,-2
PT,Portugal,Évora District,,20/02/2020,5,-1,14,4,3,-1
PT,Portugal,Évora District,,21/02/2020,8,4,17,21,1,-3
PT,Portugal,Évora District,,22/02/2020,11,6,24,,5,-2
PT,Portugal,Évora District,,23/02/2020,24,6,39,,1,
PT,Portugal,Évora District,,24/02/2020,28,6,17,-2,-34,4
PT,Portugal,Évora District,,25/02/2020,7,-3,-16,-7,-64,13
PT,Portugal,Évora District,,26/02/2020,3,3,4,6,-15,1
PT,Portugal,Évora District,,27/02/2020,0,3,13,7,1,0
PT,Portugal,Évora District,,28/02/2020,3,8,17,9,2,-2
PT,Portugal,Évora District,,29/02/2020,0,5,3,,0,1
PT,Portugal,Évora District,,01/03/2020,-2,7,-1,,-2,
PT,Portugal,Évora District,,02/03/2020,4,5,8,-4,5,0
PT,Portugal,Évora District,,03/03/2020,-1,4,6,,4,-1
PT,Portugal,Évora District,,04/03/2020,3,6,9,-9,3,-1
PT,Portugal,Évora District,,05/03/2020,1,5,12,9,3,-1
PT,Portugal,Évora District,,06/03/2020,0,4,3,23,4,-3
PT,Portugal,Évora District,,07/03/2020,6,3,12,,5,-1
PT,Portugal,Évora District,,08/03/2020,16,7,19,,7,
PT,Portugal,Évora District,,09/03/2020,1,5,7,7,4,0
PT,Portugal,Évora District,,10/03/2020,4,11,13,,3,-1
PT,Portugal,Évora District,,11/03/2020,0,22,4,4,3,-1
PT,Portugal,Évora District,,12/03/2020,-4,25,1,4,2,1
PT,Portugal,Évora District,,13/03/2020,-20,21,-16,-15,-2,4
PT,Portugal,Évora District,,14/03/2020,-44,-7,-44,,-10,10
PT,Portugal,Évora District,,15/03/2020,-56,-21,-52,-54,-20,
PT,Portugal,Évora District,,16/03/2020,-40,-13,-46,-48,-36,17
PT,Portugal,Évora District,,17/03/2020,-45,-16,-53,-58,-43,20
PT,Portugal,Évora District,,18/03/2020,-49,-15,-55,-60,-45,19
PT,Portugal,Évora District,,19/03/2020,-61,-35,-64,-70,-50,24
PT,Portugal,Évora District,,20/03/2020,-75,-40,-72,-79,-53,28
PT,Portugal,Évora District,,21/03/2020,-82,-45,-79,-82,-49,
PT,Portugal,Évora District,,22/03/2020,-84,-55,-77,,-49,
PT,Portugal,Évora District,,23/03/2020,-69,-42,-72,-76,-56,27
PT,Portugal,Évora District,,24/03/2020,-70,-39,-72,-77,-57,27
PT,Portugal,Évora District,,25/03/2020,-70,-39,-72,-79,-57,27
PT,Portugal,Évora District,,26/03/2020,-72,-43,-70,-78,-57,29
PT,Portugal,Évora District,,27/03/2020,-73,-37,-71,-77,-56,29
PT,Portugal,Évora District,,28/03/2020,-80,-48,-78,,-48,
PT,Portugal,Évora District,,29/03/2020,-83,-59,-78,,-48,
PT,Portugal,Évora District,,30/03/2020,-67,-42,-72,-76,-57,28
PT,Portugal,Évora District,,31/03/2020,-67,-33,-72,-77,-58,28
PT,Portugal,Évora District,,01/04/2020,-70,-39,-75,-77,-59,28
PT,Portugal,Évora District,,02/04/2020,-67,-37,-70,-80,-59,28
PT,Portugal,Évora District,,03/04/2020,-69,-34,-71,-79,-57,28
PT,Portugal,Évora District,,04/04/2020,-78,-44,-80,,-50,
PT,Portugal,Évora District,,05/04/2020,-84,-58,-81,,-51,
PT,Portugal,Évora District,,06/04/2020,-65,-35,-70,-78,-59,28
PT,Portugal,Évora District,,07/04/2020,-64,-30,-68,-72,-59,27
PT,Portugal,Évora District,,08/04/2020,-63,-23,-67,-77,-58,25
PT,Portugal,Évora District,,09/04/2020,-67,-31,-74,-85,-64,31
PT,Portugal,Évora District,,10/04/2020,-79,-47,-82,,-79,
PT,Portugal,Évora District,,11/04/2020,-80,-46,-80,,-52,
PT,Portugal,Évora District,,12/04/2020,-86,-81,-79,,-53,
PT,Portugal,Évora District,,13/04/2020,-73,-44,-76,-83,-73,33
PT,Portugal,Évora District,,14/04/2020,-64,-32,-68,-67,-58,27
PT,Portugal,Évora District,,15/04/2020,-64,-34,-70,-79,-56,27
PT,Portugal,Évora District,,16/04/2020,-66,-33,-70,-74,-56,29
PT,Portugal,Évora District,,17/04/2020,-65,-28,-69,-77,-55,28
PT,Portugal,Évora District,,18/04/2020,-74,-39,-72,-81,-41,
PT,Portugal,Évora District,,19/04/2020,-79,-50,-72,,-41,
PT,Portugal,Évora District,,20/04/2020,-66,-41,-71,-77,-55,27
PT,Portugal,Évora District,,21/04/2020,-64,-33,-67,-72,-54,26
PT,Portugal,Évora District,,22/04/2020,-65,-33,-66,-74,-54,25
PT,Portugal,Évora District,,23/04/2020,-64,-34,-66,-71,-55,26
PT,Portugal,Évora District,,24/04/2020,-65,-29,-65,-75,-53,26
PT,Portugal,Évora District,,25/04/2020,-75,-37,-73,-76,-47,
PT,Portugal,Évora District,,26/04/2020,-76,-43,-70,-86,-38,
PT,Portugal,Évora District,,27/04/2020,-61,-34,-65,-76,-53,25
PT,Portugal,Évora District,,28/04/2020,-59,-27,-61,-70,-52,22
PT,Portugal,Évora District,,29/04/2020,-60,-27,-67,-72,-51,24
PT,Portugal,Évora District,,30/04/2020,-56,-11,-59,-66,-52,22
PT,Portugal,Évora District,,01/05/2020,-77,-45,-77,-87,-78,
PT,Portugal,Évora District,,02/05/2020,-72,-32,-68,-71,-36,
PT,Portugal,Évora District,,03/05/2020,-72,-39,-62,-70,-26,
PT,Portugal,Évora District,,04/05/2020,-54,-23,-55,-62,-47,21
PT,Portugal,Évora District,,05/05/2020,-55,-23,-53,-55,-46,20
PT,Portugal,Évora District,,06/05/2020,-53,-19,-53,-64,-46,20
PT,Portugal,Évora District,,07/05/2020,-54,-20,-52,-60,-45,21
PT,Portugal,Évora District,,08/05/2020,-57,-14,-53,-62,-43,20
PT,Portugal,Évora District,,09/05/2020,-62,-20,-61,-65,-26,
PT,Portugal,Faro District,,15/02/2020,10,4,47,24,6,-1
PT,Portugal,Faro District,,16/02/2020,12,5,53,21,4,-1
PT,Portugal,Faro District,,17/02/2020,7,2,16,15,4,0
PT,Portugal,Faro District,,18/02/2020,8,0,27,22,4,-1
PT,Portugal,Faro District,,19/02/2020,7,2,30,20,6,-1
PT,Portugal,Faro District,,20/02/2020,9,-2,32,24,3,-1
PT,Portugal,Faro District,,21/02/2020,12,8,44,23,4,-3
PT,Portugal,Faro District,,22/02/2020,19,12,55,38,8,-2
PT,Portugal,Faro District,,23/02/2020,32,17,80,31,7,-3
PT,Portugal,Faro District,,24/02/2020,31,13,84,22,-22,3
PT,Portugal,Faro District,,25/02/2020,16,3,83,15,-49,9
PT,Portugal,Faro District,,26/02/2020,7,3,31,25,-12,2
PT,Portugal,Faro District,,27/02/2020,8,6,36,24,2,0
PT,Portugal,Faro District,,28/02/2020,17,17,61,25,5,-3
PT,Portugal,Faro District,,29/02/2020,12,12,10,28,8,1
PT,Portugal,Faro District,,01/03/2020,12,9,21,26,8,1
PT,Portugal,Faro District,,02/03/2020,11,8,20,19,5,0
PT,Portugal,Faro District,,03/03/2020,10,7,19,25,5,-1
PT,Portugal,Faro District,,04/03/2020,9,8,25,25,6,-1
PT,Portugal,Faro District,,05/03/2020,9,6,16,23,5,0
PT,Portugal,Faro District,,06/03/2020,10,6,30,20,6,-2
PT,Portugal,Faro District,,07/03/2020,11,6,30,29,11,-1
PT,Portugal,Faro District,,08/03/2020,16,5,50,26,10,-2
PT,Portugal,Faro District,,09/03/2020,8,9,29,18,3,1
PT,Portugal,Faro District,,10/03/2020,8,11,36,22,3,0
PT,Portugal,Faro District,,11/03/2020,4,16,28,18,3,0
PT,Portugal,Faro District,,12/03/2020,-2,17,21,12,-1,3
PT,Portugal,Faro District,,13/03/2020,-14,17,14,-2,-5,5
PT,Portugal,Faro District,,14/03/2020,-35,-6,-15,1,-6,11
PT,Portugal,Faro District,,15/03/2020,-48,-23,-23,-16,-12,12
PT,Portugal,Faro District,,16/03/2020,-41,-17,-24,-25,-35,17
PT,Portugal,Faro District,,17/03/2020,-52,-27,-52,-35,-44,20
PT,Portugal,Faro District,,18/03/2020,-52,-24,-35,-33,-45,20
PT,Portugal,Faro District,,19/03/2020,-65,-38,-47,-47,-53,24
PT,Portugal,Faro District,,20/03/2020,-77,-47,-69,-57,-58,28
PT,Portugal,Faro District,,21/03/2020,-79,-49,-68,-51,-53,24
PT,Portugal,Faro District,,22/03/2020,-81,-56,-61,-65,-50,20
PT,Portugal,Faro District,,23/03/2020,-73,-47,-60,-69,-59,28
PT,Portugal,Faro District,,24/03/2020,-73,-46,-56,-66,-61,27
PT,Portugal,Faro District,,25/03/2020,-75,-47,-63,-69,-61,27
PT,Portugal,Faro District,,26/03/2020,-74,-48,-59,-70,-62,28
PT,Portugal,Faro District,,27/03/2020,-74,-44,-62,-74,-60,28
PT,Portugal,Faro District,,28/03/2020,-79,-51,-72,-74,-55,24
PT,Portugal,Faro District,,29/03/2020,-83,-60,-78,-82,-54,21
PT,Portugal,Faro District,,30/03/2020,-75,-53,-77,-78,-61,29
PT,Portugal,Faro District,,31/03/2020,-71,-43,-68,-72,-61,27
PT,Portugal,Faro District,,01/04/2020,-74,-47,-74,-74,-62,28
PT,Portugal,Faro District,,02/04/2020,-71,-43,-63,-75,-62,28
PT,Portugal,Faro District,,03/04/2020,-72,-39,-61,-75,-60,27
PT,Portugal,Faro District,,04/04/2020,-79,-49,-80,-82,-56,25
PT,Portugal,Faro District,,05/04/2020,-83,-61,-85,-87,-57,23
PT,Portugal,Faro District,,06/04/2020,-69,-42,-64,-76,-60,27
PT,Portugal,Faro District,,07/04/2020,-70,-41,-65,-74,-62,27
PT,Portugal,Faro District,,08/04/2020,-69,-35,-62,-73,-60,25
PT,Portugal,Faro District,,09/04/2020,-73,-38,-70,-79,-65,29
PT,Portugal,Faro District,,10/04/2020,-82,-52,-70,-85,-79,35
PT,Portugal,Faro District,,11/04/2020,-79,-45,-75,-83,-57,25
PT,Portugal,Faro District,,12/04/2020,-87,-80,-75,-87,-58,22
PT,Portugal,Faro District,,13/04/2020,-72,-46,-65,-80,-64,29
PT,Portugal,Faro District,,14/04/2020,-69,-40,-66,-73,-60,26
PT,Portugal,Faro District,,15/04/2020,-70,-42,-63,-73,-59,26
PT,Portugal,Faro District,,16/04/2020,-70,-42,-65,-77,-60,28
PT,Portugal,Faro District,,17/04/2020,-68,-35,-59,-76,-58,26
PT,Portugal,Faro District,,18/04/2020,-72,-43,-64,-78,-49,22
PT,Portugal,Faro District,,19/04/2020,-78,-53,-63,-81,-51,19
PT,Portugal,Faro District,,20/04/2020,-69,-48,-72,-78,-58,28
PT,Portugal,Faro District,,21/04/2020,-67,-42,-61,-74,-58,26
PT,Portugal,Faro District,,22/04/2020,-68,-43,-54,-72,-57,25
PT,Portugal,Faro District,,23/04/2020,-66,-41,-51,-74,-57,26
PT,Portugal,Faro District,,24/04/2020,-66,-37,-52,-74,-55,25
PT,Portugal,Faro District,,25/04/2020,-73,-45,-66,-78,-51,22
PT,Portugal,Faro District,,26/04/2020,-75,-48,-59,-82,-47,18
PT,Portugal,Faro District,,27/04/2020,-64,-42,-58,-73,-56,26
PT,Portugal,Faro District,,28/04/2020,-62,-36,-48,-69,-55,22
PT,Portugal,Faro District,,29/04/2020,-63,-36,-49,-67,-54,23
PT,Portugal,Faro District,,30/04/2020,-60,-24,-48,-57,-54,22
PT,Portugal,Faro District,,01/05/2020,-77,-51,-49,-71,-76,30
PT,Portugal,Faro District,,02/05/2020,-72,-38,-54,-67,-47,21
PT,Portugal,Faro District,,03/05/2020,-74,-43,-48,-69,-43,17
PT,Portugal,Faro District,,04/05/2020,-56,-30,-42,-54,-48,21
PT,Portugal,Faro District,,05/05/2020,-56,-29,-34,-50,-48,20
PT,Portugal,Faro District,,06/05/2020,-56,-27,-30,-47,-47,20
PT,Portugal,Faro District,,07/05/2020,-56,-28,-26,-53,-47,20
PT,Portugal,Faro District,,08/05/2020,-55,-22,-29,-53,-45,19
PT,Portugal,Faro District,,09/05/2020,-62,-29,-52,-55,-36,17
PT,Portugal,Guarda District,,15/02/2020,7,3,35,,4,
PT,Portugal,Guarda District,,16/02/2020,5,6,44,,3,
PT,Portugal,Guarda District,,17/02/2020,-2,2,15,,3,2
PT,Portugal,Guarda District,,18/02/2020,3,3,8,,3,0
PT,Portugal,Guarda District,,19/02/2020,0,2,15,,3,-2
PT,Portugal,Guarda District,,20/02/2020,6,0,,,2,-1
PT,Portugal,Guarda District,,21/02/2020,13,5,65,,1,-3
PT,Portugal,Guarda District,,22/02/2020,22,20,62,,-2,
PT,Portugal,Guarda District,,23/02/2020,49,29,193,,9,
PT,Portugal,Guarda District,,24/02/2020,43,30,,,-30,3
PT,Portugal,Guarda District,,25/02/2020,1,-1,,,-63,12
PT,Portugal,Guarda District,,26/02/2020,-2,7,34,,-20,2
PT,Portugal,Guarda District,,27/02/2020,2,4,,,-2,0
PT,Portugal,Guarda District,,28/02/2020,1,7,37,,0,-1
PT,Portugal,Guarda District,,29/02/2020,-1,6,9,,3,
PT,Portugal,Guarda District,,01/03/2020,-5,3,7,,4,
PT,Portugal,Guarda District,,02/03/2020,-3,4,0,,4,1
PT,Portugal,Guarda District,,03/03/2020,-3,5,-8,,3,1
PT,Portugal,Guarda District,,04/03/2020,-3,3,9,,2,0
PT,Portugal,Guarda District,,05/03/2020,1,5,11,,2,0
PT,Portugal,Guarda District,,06/03/2020,-2,7,12,,2,-1
PT,Portugal,Guarda District,,07/03/2020,10,7,41,,4,
PT,Portugal,Guarda District,,08/03/2020,12,7,34,,9,
PT,Portugal,Guarda District,,09/03/2020,-2,5,15,,4,0
PT,Portugal,Guarda District,,10/03/2020,2,16,20,,2,-1
PT,Portugal,Guarda District,,11/03/2020,-3,24,17,,1,-1
PT,Portugal,Guarda District,,12/03/2020,-3,23,,,-1,1
PT,Portugal,Guarda District,,13/03/2020,-18,29,2,,-4,3
PT,Portugal,Guarda District,,14/03/2020,-43,-7,-38,,-11,
PT,Portugal,Guarda District,,15/03/2020,-59,-25,-56,,-20,
PT,Portugal,Guarda District,,16/03/2020,-45,-7,-27,,-40,18
PT,Portugal,Guarda District,,17/03/2020,-50,-11,-37,,-43,19
PT,Portugal,Guarda District,,18/03/2020,-55,-12,-38,,-46,19
PT,Portugal,Guarda District,,19/03/2020,-63,-36,-38,,-53,24
PT,Portugal,Guarda District,,20/03/2020,-77,-40,-62,-68,-56,31
PT,Portugal,Guarda District,,21/03/2020,-82,-47,-79,,-49,
PT,Portugal,Guarda District,,22/03/2020,-85,-59,-70,,-46,
PT,Portugal,Guarda District,,23/03/2020,-75,-41,-40,,-58,28
PT,Portugal,Guarda District,,24/03/2020,-72,-38,-49,,-60,27
PT,Portugal,Guarda District,,25/03/2020,-73,-40,-51,,-59,26
PT,Portugal,Guarda District,,26/03/2020,-74,-42,-43,,-60,28
PT,Portugal,Guarda District,,27/03/2020,-76,-40,-53,,-58,
PT,Portugal,Guarda District,,28/03/2020,-81,-51,-71,,-50,
PT,Portugal,Guarda District,,29/03/2020,-86,-64,-75,,-46,
PT,Portugal,Guarda District,,30/03/2020,-75,-43,-60,,-59,29
PT,Portugal,Guarda District,,31/03/2020,-75,-40,-59,,-63,
PT,Portugal,Guarda District,,01/04/2020,-75,-36,-55,,-60,26
PT,Portugal,Guarda District,,02/04/2020,-74,-40,-51,,-61,
PT,Portugal,Guarda District,,03/04/2020,-75,-37,-55,,-60,
PT,Portugal,Guarda District,,04/04/2020,-80,-46,-79,,-49,
PT,Portugal,Guarda District,,05/04/2020,-88,-65,-85,,-54,
PT,Portugal,Guarda District,,06/04/2020,-71,-34,-60,,-62,
PT,Portugal,Guarda District,,07/04/2020,-67,-25,-45,,-61,
PT,Portugal,Guarda District,,08/04/2020,-69,-24,-45,,-61,25
PT,Portugal,Guarda District,,09/04/2020,-72,-28,-55,,-68,
PT,Portugal,Guarda District,,10/04/2020,-83,-52,-60,-81,-81,
