"Bundesland";"Datum";"R_eff";"R_eff_lwr";"R_eff_upr"
"Burgenland";2020-03-12;NA;NA;NA
"Burgenland";2020-03-13;NA;NA;NA
"Burgenland";2020-03-14;NA;NA;NA
"Burgenland";2020-03-15;NA;NA;NA
"Burgenland";2020-03-16;NA;NA;NA
"Burgenland";2020-03-17;NA;NA;NA
"Burgenland";2020-03-18;NA;NA;NA
"Burgenland";2020-03-19;2,45465555590678;1,64392135013252;3,42532759129121
"Burgenland";2020-03-20;2,16365639147582;1,47993937007444;2,97516449118707
"Burgenland";2020-03-21;2,79668762720573;2,08231763357821;3,61478821825122
"Burgenland";2020-03-22;2,67729426950371;2,05266616457151;3,38362719462573
"Burgenland";2020-03-23;2,83874265462744;2,26748680721682;3,47320884399766
"Burgenland";2020-03-24;2,16730999113747;1,73117024329153;2,6517092758065
"Burgenland";2020-03-25;1,71580446584049;1,37052366607273;2,09929111947275
"Burgenland";2020-03-26;1,96607614116356;1,62460675734584;2,33963202523639
"Burgenland";2020-03-27;2,0212104918806;1,7002793872244;2,36947602188267
"Burgenland";2020-03-28;1,8537579890011;1,57077420369247;2,15983335120354
"Burgenland";2020-03-29;1,76154193713872;1,50668952026772;2,03601485387753
"Burgenland";2020-03-30;1,56183489320668;1,3389999728584;1,8015690991938
"Burgenland";2020-03-31;1,34402280100154;1,15012223370181;1,55280592710792
"Burgenland";2020-04-01;1,25614760737473;1,07741673064257;1,44839299398717
"Burgenland";2020-04-02;1,19057539862695;1,02254516537709;1,37120008030736
"Burgenland";2020-04-03;1,06052880253595;0,90622161736795;1,22678898968148
"Burgenland";2020-04-04;1,04483834741486;0,894100764578264;1,20714557634472
"Burgenland";2020-04-05;0,912058684315013;0,772829172996685;1,06264937296365
"Burgenland";2020-04-06;0,929606243372894;0,78902070464887;1,08154752297023
"Burgenland";2020-04-07;0,952422515353931;0,809268839378207;1,10706250628869
"Burgenland";2020-04-08;0,812055169356365;0,679439844862647;0,956317772022319
"Burgenland";2020-04-09;0,700313397457646;0,576107629494865;0,836462820490366
"Burgenland";2020-04-10;0,694169363254398;0,567761765603444;0,83309187138324
"Burgenland";2020-04-11;0,634453862126459;0,510175828025532;0,772075070903828
"Burgenland";2020-04-12;0,678770227627463;0,545108229295493;0,826867681084944
"Burgenland";2020-04-13;0,730454007368623;0,585845473639007;0,890773543103143
"Burgenland";2020-04-14;0,719548906248615;0,570557532028764;0,88556297054297
"Burgenland";2020-04-15;0,727276121432998;0,572048805009167;0,900854856382907
"Burgenland";2020-04-16;0,78172536133248;0,614876586233145;0,968299477131844
"Burgenland";2020-04-17;0,768080023998977;0,597612104776135;0,959612501289041
"Burgenland";2020-04-18;0,816399249159166;0,635207346088088;1,01998086274558
"Burgenland";2020-04-19;0,837629826448285;0,649151610279203;1,04976498636559
"Burgenland";2020-04-20;0,918336333822445;0,715888224587462;1,14561035659632
"Burgenland";2020-04-21;0,871061791152331;0,670823720056861;1,09705288349405
"Burgenland";2020-04-22;0,898954714421633;0,692304669790657;1,13218243711755
"Burgenland";2020-04-23;0,853210646563588;0,649503475708355;1,08427816245773
"Burgenland";2020-04-24;0,82060943619238;0,618195331045344;1,05124972132044
"Burgenland";2020-04-25;0,743508201952902;0,548204254707177;0,968110200867197
"Burgenland";2020-04-26;0,73217181485261;0,534051145887761;0,961064120614875
"Burgenland";2020-04-27;0,742935920648108;0,53766640955976;0,980879269589467
"Burgenland";2020-04-28;0,774635962996892;0,558289466116738;1,02586017295543
"Burgenland";2020-04-29;0,707990224237035;0,495867649049669;0,957291820197703
"Burgenland";2020-04-30;0,631165786741836;0,425844905869084;0,876244041626945
"Burgenland";2020-05-01;0,615066897523303;0,405332961112921;0,867837160769657
"Burgenland";2020-05-02;0,624528896589891;0,40416217290815;0,892079513893761
"Burgenland";2020-05-03;0,524302728719792;0,315664492471645;0,785012543906917
"Burgenland";2020-05-04;0,524684209419378;0,30564788720506;0,801933444283639
"Burgenland";2020-05-05;0,524423978193405;0,293516119614932;0,821234703664591
"Burgenland";2020-05-06;0,558919114436069;0,305566280856096;0,887499514295755
"Burgenland";2020-05-07;NA;NA;NA
"Burgenland";2020-05-08;NA;NA;NA
"Burgenland";2020-05-09;NA;NA;NA
"Burgenland";2020-05-10;NA;NA;NA
"Burgenland";2020-05-11;NA;NA;NA
"Burgenland";2020-05-12;NA;NA;NA
"Burgenland";2020-05-13;NA;NA;NA
"Burgenland";2020-05-14;NA;NA;NA
"Burgenland";2020-05-15;NA;NA;NA
"Burgenland";2020-05-16;NA;NA;NA
"Burgenland";2020-05-17;NA;NA;NA
"Burgenland";2020-05-18;NA;NA;NA
"Burgenland";2020-05-19;NA;NA;NA
"Burgenland";2020-05-20;NA;NA;NA
"Burgenland";2020-05-21;NA;NA;NA
"Burgenland";2020-05-22;NA;NA;NA
"Burgenland";2020-05-23;NA;NA;NA
"Burgenland";2020-05-24;NA;NA;NA
"Burgenland";2020-05-25;NA;NA;NA
"Burgenland";2020-05-26;NA;NA;NA
"Burgenland";2020-05-27;NA;NA;NA
"Burgenland";2020-05-28;NA;NA;NA
"Burgenland";2020-05-29;NA;NA;NA
"Burgenland";2020-05-30;NA;NA;NA
"Burgenland";2020-05-31;NA;NA;NA
"Burgenland";2020-06-01;NA;NA;NA
"Burgenland";2020-06-02;NA;NA;NA
"Burgenland";2020-06-03;NA;NA;NA
"Burgenland";2020-06-04;NA;NA;NA
"Burgenland";2020-06-05;NA;NA;NA
"Burgenland";2020-06-06;NA;NA;NA
"Burgenland";2020-06-07;NA;NA;NA
"Burgenland";2020-06-08;NA;NA;NA
"Burgenland";2020-06-09;NA;NA;NA
"Burgenland";2020-06-10;NA;NA;NA
"Burgenland";2020-06-11;NA;NA;NA
"Burgenland";2020-06-12;NA;NA;NA
"Burgenland";2020-06-13;NA;NA;NA
"Burgenland";2020-06-14;NA;NA;NA
"Burgenland";2020-06-15;NA;NA;NA
"Burgenland";2020-06-16;NA;NA;NA
"Burgenland";2020-06-17;NA;NA;NA
"Kärnten";2020-03-12;NA;NA;NA
"Kärnten";2020-03-13;NA;NA;NA
"Kärnten";2020-03-14;NA;NA;NA
"Kärnten";2020-03-15;NA;NA;NA
"Kärnten";2020-03-16;NA;NA;NA
"Kärnten";2020-03-17;NA;NA;NA
"Kärnten";2020-03-18;5,13538714042169;3,82363303421024;6,6376154243234
"Kärnten";2020-03-19;4,46331997373935;3,5046661697477;5,53611754215042
"Kärnten";2020-03-20;3,06144868393169;2,42753840686578;3,76778502081509
"Kärnten";2020-03-21;2,8083570525388;2,29695783622472;3,3703870499892
"Kärnten";2020-03-22;2,36425444065723;1,95858877316398;2,80753277180198
"Kärnten";2020-03-23;2,18139992838019;1,83621036243375;2,55588116970394
"Kärnten";2020-03-24;2,04429972862977;1,74339329974642;2,36880876441182
"Kärnten";2020-03-25;1,81929648876477;1,56114194893921;2,09691374767377
"Kärnten";2020-03-26;1,73043429201904;1,49834995271025;1,97898488952997
"Kärnten";2020-03-27;1,62997641897517;1,42030608446148;1,85387094324998
"Kärnten";2020-03-28;1,55042582362264;1,35851867904274;1,75482692906724
"Kärnten";2020-03-29;1,43442710905176;1,26007518032901;1,61991199615361
"Kärnten";2020-03-30;1,28832136590829;1,13110374020309;1,4556205973586
"Kärnten";2020-03-31;1,201240636684;1,05523208696797;1,35657232448567
"Kärnten";2020-04-01;1,0963886827911;0,960959176139034;1,24061590904493
"Kärnten";2020-04-02;1,06856431329258;0,937375347522989;1,20822013180557
"Kärnten";2020-04-03;0,969008828395509;0,845724589088195;1,10055884998199
"Kärnten";2020-04-04;0,92578216289924;0,8058924079537;1,0538640879359
"Kärnten";2020-04-05;0,861060842098425;0,745295468925003;0,985061160942562
"Kärnten";2020-04-06;0,802196805303532;0,689583110359058;0,923202772579818
"Kärnten";2020-04-07;0,806277187779604;0,691556093049212;0,92967277343488
"Kärnten";2020-04-08;0,807533719115988;0,690371707291468;0,933743445090325
"Kärnten";2020-04-09;0,795421825501418;0,676589498893856;0,923726412161611
"Kärnten";2020-04-10;0,776887806363208;0,656768441055608;0,906945999144311
"Kärnten";2020-04-11;0,729270238307932;0,610174377649263;0,858825995841635
"Kärnten";2020-04-12;0,72582073514382;0,603700135114458;0,859023004160062
"Kärnten";2020-04-13;0,667681522803506;0,547181120883726;0,799994450908403
"Kärnten";2020-04-14;0,630709986911992;0,509677870327709;0,764442532189086
"Kärnten";2020-04-15;0,627163322032804;0,501649704290157;0,766479751173096
"Kärnten";2020-04-16;0,623301233173237;0,492693759460593;0,769032166009726
"Kärnten";2020-04-17;0,642253071731241;0,503423884609621;0,797731842437737
"Kärnten";2020-04-18;0,6493971828627;0,503273896959454;0,813861210869628
"Kärnten";2020-04-19;0,628946235240213;0,478783015035617;0,799278198153782
"Kärnten";2020-04-20;0,609885639075002;0,455491766565881;0,786466078873381
"Kärnten";2020-04-21;0,479001578463921;0,337261316185453;0,645217385126565
"Kärnten";2020-04-22;0,40631190639179;0,269991311042124;0,570049545471174
"Kärnten";2020-04-23;0,316486468361643;0,190545528255135;0,473859535782558
"Kärnten";2020-04-24;NA;NA;NA
"Kärnten";2020-04-25;NA;NA;NA
"Kärnten";2020-04-26;NA;NA;NA
"Kärnten";2020-04-27;NA;NA;NA
"Kärnten";2020-04-28;NA;NA;NA
"Kärnten";2020-04-29;NA;NA;NA
"Kärnten";2020-04-30;NA;NA;NA
"Kärnten";2020-05-01;NA;NA;NA
"Kärnten";2020-05-02;NA;NA;NA
"Kärnten";2020-05-03;NA;NA;NA
"Kärnten";2020-05-04;NA;NA;NA
"Kärnten";2020-05-05;NA;NA;NA
"Kärnten";2020-05-06;NA;NA;NA
"Kärnten";2020-05-07;NA;NA;NA
"Kärnten";2020-05-08;NA;NA;NA
"Kärnten";2020-05-09;NA;NA;NA
"Kärnten";2020-05-10;NA;NA;NA
"Kärnten";2020-05-11;NA;NA;NA
"Kärnten";2020-05-12;NA;NA;NA
"Kärnten";2020-05-13;NA;NA;NA
