,,,,,n,lower,mean,upper,,,,,,day,lower,mean,upper
109.6551724,0.866317169,,,,,,,,,,,,,,,,
110.7241379,0.923984273,,,,,,,,,,,,,,,,
110.7241379,0.979030144,,,,,,,,,,,,,,,,
110.7241379,0.878112713,,,,,,,,,,,,,,,,
111.6896552,0.884665793,,,,,,,,,,,,,,,,
111.7241379,0.931847969,,,,,,,,,,,,,,,,
111.7241379,0.985583224,,,,,,,,,,,,,,,,
112.862069,0.892529489,,,,,,,,,,,,,,,,
112.8965517,0.99344692,,,,,,,,,,,,,,,,
112.8965517,0.94102228,,,,,,,,,,,,,,,,
113.8275862,1,,,,,,,,,,,,,,,,
113.8275862,0.900393185,,,,,,,,,,,,,,,,
113.862069,0.94757536,,,,,,,,,,,,,,,,
114.9655172,0.952817824,,,,,,,,,,,,,,,,
114.9655172,0.905635649,,,,,,,,,,,,,,,,
114.9655172,1.00655308,,,,,,,,,,,,,,,,
115.8965517,0.905635649,,,,,,,,,,,,,,,,
115.9310345,0.952817824,,,,,,,,,,,,,,,,
115.9310345,1.005242464,,,,,,,,,,,,,,,,
117.0689655,0.906946265,,,,,,,,,,,,,,,,
117.1034483,1.00655308,,,,,,,,,,,,,,,,
117.137931,0.952817824,,,,,,,,,,,,,,,,
118.0689655,0.906946265,,,,,,,,,,,,,,,,
118.102069,0.952975098,,,,,,,,,,,,,,,,
118.1034483,1.003931848,,,,,,,,,,,,,,,,
119.2068966,0.95412844,,,,,,,,,,,,,,,,
119.2068966,1.005242464,,,,,,,,,,,,,,,,
119.2068966,0.905635649,,,,,,,,,,,,,,,,
120.1724138,0.997378768,,,,,,,,,,,,,,,,
120.2068966,0.946264744,,,,,,,,,,,,,,,,
120.2068966,0.901703801,,,,,,,,,,,,,,,,
121.3793103,0.989515072,,,,,,,,,,,,,,,,
121.3793103,0.938401048,,,,,,,,,,,,,,,,
121.3793103,0.895150721,,,,,,,,,,,,,,,,
122.3448276,0.996068152,,,,,,,,,,,,,,,,
122.3448276,0.939711664,,,,,,,,,,,,,,,,
122.3793103,0.895150721,,,,,,,,,,,,,,,,
123.4137931,0.994757536,,,,,,,,,,,,,,,,
123.4482759,0.94102228,,,,,,,,,,,,,,,,
123.4827586,0.896461337,,,,,,,,,,,,,,,,
124.4137931,1,,,,,,,,,,,,,,,,
124.4137931,0.94757536,,,,,,,,,,,,,,,,
124.4137931,0.901703801,,,,,,,,,,,,,,,,
125.5862069,0.908256881,,,,,,,,,,,,,,,,
125.6206897,0.956749672,,,,,,,,,,,,,,,,
125.6206897,1.010484928,,,,,,,,,,,,,,,,
126.5517241,0.914809961,,,,,,,,,,,,,,,,
126.5517241,1.015727392,,,,,,,,,,,,,,,,
126.5517241,0.963302752,,,,,,,,,,,,,,,,
127.6206897,0.918741809,,,,,,,,,,,,,,,,
127.6551724,1.024901704,,,,,,,,,,,,,,,,
127.6896552,0.968545216,,,,,,,,,,,,,,,,
128.6206897,0.920052425,,,,,,,,,,,,,,,,
128.6551724,1.027522936,,,,,,,,,,,,,,,,
128.6551724,0.971166448,,,,,,,,,,,,,,,,
129.7241379,0.921363041,,,,,,,,,,,,,,,,
129.7241379,0.972477064,,,,,,,,,,,,,,,,
129.7586207,1.028833552,,,,,,,,,,,,,,,,
130.7241379,0.908256881,,,,,,,,,,,,,,,,
130.7241379,1.009174312,,,,,,,,,,,,,,,,
130.7241379,0.956749672,,,,,,,,,,,,,,,,
131.7931034,0.895150721,,,,,,,,,,,,,,,,
131.8275862,0.989515072,,,,,,,,,,,,,,,,
131.862069,0.938401048,,,,,,,,,,,,,,,,
132.8275862,0.880733945,,,,,,,,,,,,,,,,
132.8275862,0.976408912,,,,,,,,,,,,,,,,
132.862069,0.925294889,,,,,,,,,,,,,,,,
133.9655172,0.863695937,,,,,,,,,,,,,,,,
134,0.908256881,,,,,,,,,,,,,,,,
134,0.96068152,,,,,,,,,,,,,,,,
134.9655172,0.851900393,,,,,,,,,,,,,,,,
134.9655172,0.896461337,,,,,,,,,,,,,,,,
135,0.94757536,,,,,,,,,,,,,,,,
136.0689655,0.931847969,,,,,,,,,,,,,,,,
136.1034483,0.837483617,,,,,,,,,,,,,,,,
136.1034483,0.882044561,,,,,,,,,,,,,,,,
137.0344828,0.830930537,,,,,,,,,,,,,,,,
137.0689655,0.874180865,,,,,,,,,,,,,,,,
137.0689655,0.923984273,,,,,,,,,,,,,,,,
138.137931,0.916120577,,,,,,,,,,,,,,,,
138.1724138,0.820445609,,,,,,,,,,,,,,,,
138.2068966,0.865006553,,,,,,,,,,,,,,,,
139.137931,0.815203145,,,,,,,,,,,,,,,,
139.137931,0.861074705,,,,,,,,,,,,,,,,
139.1724138,0.912188729,,,,,,,,,,,,,,,,
140.2758621,0.811271298,,,,,,,,,,,,,,,,
140.3103448,0.912188729,,,,,,,,,,,,,,,,
140.3103448,0.858453473,,,,,,,,,,,,,,,,
141.2758621,0.809960682,,,,,,,,,,,,,,,,
141.2758621,0.913499345,,,,,,,,,,,,,,,,
141.3103448,0.859764089,,,,,,,,,,,,,,,,
142.4482759,0.914809961,,,,,,,,,,,,,,,,
142.4827586,0.859764089,,,,,,,,,,,,,,,,
142.5172414,0.80733945,,,,,,,,,,,,,,,,
143.4482759,0.914809961,,,,,,,,,,,,,,,,
143.4482759,0.858453473,,,,,,,,,,,,,,,,
143.4482759,0.804718218,,,,,,,,,,,,,,,,
144.5172414,0.804718218,,,,,,,,,,,,,,,,
144.5172414,0.914809961,,,,,,,,,,,,,,,,
144.5862069,0.857142857,,,,,,,,,,,,,,,,
145.5172414,0.796854522,,,,,,,,,,,,,,,,
145.5172414,0.900393185,,,,,,,,,,,,,,,,
145.5517241,0.845347313,,,,,,,,,,,,,,,,
146.6206897,0.884665793,,,,,,,,,,,,,,,,
146.6206897,0.785058978,,,,,,,,,,,,,,,,
146.6551724,0.832241153,,,,,,,,,,,,,,,,
147.5862069,0.882044561,,,,,,,,,,,,,,,,
147.6206897,0.778505898,,,,,,,,,,,,,,,,
147.6206897,0.825688073,,,,,,,,,,,,,,,,
148.7241379,0.879423329,,,,,,,,,,,,,,,,
148.7241379,0.821756225,,,,,,,,,,,,,,,,
148.7586207,0.771952818,,,,,,,,,,,,,,,,
149.6551724,0.773263434,,,,,,,,,,,,,,,,
149.7241379,0.884665793,,,,,,,,,,,,,,,,
149.7241379,0.825688073,,,,,,,,,,,,,,,,
150.7931034,0.889908257,,,,,,,,,,,,,,,,
150.8275862,0.829619921,,,,,,,,,,,,,,,,
150.8275862,0.775884666,,,,,,,,,,,,,,,,
151.7586207,0.775884666,,,,,,,,,,,,,,,,
151.7931034,0.833551769,,,,,,,,,,,,,,,,
151.7931034,0.893840105,,,,,,,,,,,,,,,,
152.862069,0.777195282,,,,,,,,,,,,,,,,
152.8965517,0.833551769,,,,,,,,,,,,,,,,
152.8965517,0.897771953,,,,,,,,,,,,,,,,
153.8275862,0.777195282,,,,,,,,,,,,,,,,
153.862069,0.899082569,,,,,,,,,,,,,,,,
153.8965517,0.834862385,,,,,,,,,,,,,,,,
155.0344828,0.834862385,,,,,,,,,,,,,,,,
155.0344828,0.900393185,,,,,,,,,,,,,,,,
155.0689655,0.777195282,,,,,,,,,,,,,,,,
155.9655172,0.778505898,,,,,,,,,,,,,,,,
156,0.904325033,,,,,,,,,,,,,,,,
156.0344828,0.838794233,,,,,,,,,,,,,,,,
157.1724138,0.779816514,,,,,,,,,,,,,,,,
157.2068966,0.908256881,,,,,,,,,,,,,,,,
157.2413793,0.840104849,,,,,,,,,,,,,,,,
158.1724138,0.914809961,,,,,,,,,,,,,,,,
158.1724138,0.844036697,,,,,,,,,,,,,,,,
158.1724138,0.782437746,,,,,,,,,,,,,,,,
159.2413793,0.782437746,,,,,,,,,,,,,,,,
159.2758621,0.846657929,,,,,,,,,,,,,,,,
159.2758621,0.920052425,,,,,,,,,,,,,,,,
160.2413793,0.849279161,,,,,,,,,,,,,,,,
160.3103448,0.782437746,,,,,,,,,,,,,,,,
160.3103448,0.923984273,,,,,,,,,,,,,,,,
161.3793103,0.782437746,,,,,,,,,,,,,,,,
161.4482759,0.929226737,,,,,,,,,,,,,,,,
161.4482759,0.851900393,,,,,,,,,,,,,,,,
162.3793103,0.929226737,,,,,,,,,,,,,,,,
162.3793103,0.775884666,,,,,,,,,,,,,,,,
162.4137931,0.849279161,,,,,,,,,,,,,,,,
163.5517241,0.922673657,,,,,,,,,,,,,,,,
163.5862069,0.842726081,,,,,,,,,,,,,,,,
163.6206897,0.765399738,,,,,,,,,,,,,,,,
164.5172414,0.732634338,,,,,,,,,,,,,,,,
164.5517241,0.808650066,,,,,,,,,,,,,,,,
164.5517241,0.889908257,,,,,,,,,,,,,,,,
165.6551724,0.853211009,,,,,,,,,,,,,,,,
165.6551724,0.769331586,,,,,,,,,,,,,,,,
165.6896552,0.694626474,,,,,,,,,,,,,,,,
166.6206897,0.825688073,,,,,,,,,,,,,,,,
166.6551724,0.736566186,,,,,,,,,,,,,,,,
166.6896552,0.652686763,,,,,,,,,,,,,,,,
167.6551724,0.80078637,,,,,,,,,,,,,,,,
167.6551724,0.608125819,,,,,,,,,,,,,,,,
167.7241379,0.69593709,,,,,,,,,,,,,,,,
168.6551724,0.782437746,,,,,,,,,,,,,,,,
168.6551724,0.551769332,,,,,,,,,,,,,,,,
168.6896552,0.661861075,,,,,,,,,,,,,,,,
169.7931034,0.484927916,,,,,,,,,,,,,,,,
169.7931034,0.765399738,,,,,,,,,,,,,,,,
169.8275862,0.619921363,,,,,,,,,,,,,,,,
